date,S&P500,NASDAQ,Google,Tesla,Amazon,Microsoft,Meta,Apple,NVIDIA,JP Morgan,Citigroup,Goldman Sachs,Gold,Oil,Bitcoin
2025-10-31,0.163,0.229,0.48,0.131,0.113,0.228,0.107,0.08,0.508,0.298,0.438,0.379,0.52,-0.158,0.175
2025-11-03,0.165,0.234,0.492,0.16,0.158,0.227,0.089,0.074,0.541,0.291,0.444,0.372,0.523,-0.157,0.141
2025-11-04,0.151,0.209,0.46,0.1,0.136,0.22,0.071,0.078,0.48,0.29,0.435,0.381,0.496,-0.164,0.078
2025-11-05,0.156,0.217,0.495,0.144,0.14,0.203,0.086,0.079,0.454,0.3,0.445,0.385,0.514,-0.177,0.112
2025-11-06,0.143,0.194,0.498,0.104,0.108,0.179,0.057,0.077,0.401,0.307,0.433,0.375,0.512,-0.18,0.08
2025-11-07,0.144,0.191,0.469,0.064,0.114,0.179,0.062,0.072,0.401,0.311,0.432,0.373,0.521,-0.174,0.111
2025-11-10,0.162,0.218,0.526,0.102,0.132,0.2,0.079,0.076,0.482,0.322,0.442,0.392,0.563,-0.17,0.135
2025-11-11,0.164,0.215,0.532,0.089,0.135,0.207,0.071,0.099,0.438,0.317,0.431,0.415,0.569,-0.157,0.1
2025-11-12,0.165,0.212,0.509,0.066,0.113,0.213,0.04,0.092,0.443,0.337,0.461,0.465,0.594,-0.193,0.087
2025-11-13,0.146,0.184,0.466,-0.005,0.083,0.194,0.042,0.09,0.391,0.291,0.43,0.407,0.581,-0.19,0.05
2025-11-14,0.145,0.186,0.454,0.001,0.07,0.21,0.041,0.088,0.416,0.267,0.425,0.381,0.553,-0.17,0.009
2025-11-17,0.134,0.176,0.5,0.013,0.061,0.204,0.028,0.068,0.39,0.253,0.395,0.354,0.535,-0.173,-0.017
2025-11-18,0.125,0.162,0.496,-0.006,0.014,0.172,0.021,0.068,0.351,0.249,0.397,0.356,0.546,-0.162,-0.007
2025-11-19,0.129,0.168,0.538,0,0.015,0.156,0.008,0.072,0.389,0.265,0.418,0.373,0.549,-0.179,-0.043
2025-11-20,0.112,0.143,0.523,-0.021,-0.01,0.135,0.006,0.063,0.345,0.245,0.387,0.351,0.548,-0.184,-0.076
2025-11-21,0.123,0.153,0.573,-0.032,0.006,0.12,0.015,0.084,0.332,0.243,0.402,0.352,0.546,-0.208,-0.095
2025-11-24,0.14,0.184,0.672,0.035,0.031,0.125,0.047,0.102,0.359,0.243,0.416,0.381,0.57,-0.188,-0.046
2025-11-25,0.15,0.192,0.699,0.039,0.047,0.132,0.087,0.106,0.324,0.264,0.437,0.401,0.57,-0.2,-0.065
